Player ID,Name,Jersey Number,Captain Count,Played Count,Green Card Count,Yellow Card Count,Red Card Count,Starter Count,Top Raider Count,Top Defender Count,Total Points,Team ID,Team Name,Total Matches in Season,season,team_name
522,Dong Geon Lee,77,0,6,0,0,0,4,0,0,20,5,U Mumba,24,7,U Mumba
2024,Arjun Deshwal,2,0,19,0,0,0,17,0,0,106,5,U Mumba,24,7,U Mumba
3116,Harsh Vardhan,3,0,8,0,0,0,0,0,0,0,5,U Mumba,24,7,U Mumba
2025,Ajinkya Kapre,9,0,5,0,0,0,1,0,0,16,5,U Mumba,24,7,U Mumba
261,Rohit Baliyan,33,0,18,0,0,0,15,0,0,54,5,U Mumba,24,7,U Mumba
3086,Surender Singh,5,0,24,0,0,0,24,0,0,58,5,U Mumba,24,7,U Mumba
3138,Harendra Kumar,55,0,20,0,0,0,15,0,0,20,5,U Mumba,24,7,U Mumba
376,Athul MS,6,0,18,0,0,0,13,0,0,58,5,U Mumba,24,7,U Mumba
2028,Abhishek Singh,7,0,21,0,0,0,20,0,0,163,5,U Mumba,24,7,U Mumba
142,Sandeep Narwal,10,0,24,4,0,0,24,0,0,76,5,U Mumba,24,7,U Mumba
259,Fazel Atrachali,1,24,24,3,0,0,24,0,0,84,5,U Mumba,24,7,U Mumba
84,Rajaguru Subramanian,14,0,5,0,0,0,0,0,0,2,5,U Mumba,24,7,U Mumba
172,Vinoth Kumar,4,0,1,0,0,0,1,0,0,0,5,U Mumba,24,7,U Mumba
2313,Gaurav Kumar,16,0,0,0,0,0,0,0,0,0,5,U Mumba,24,7,U Mumba
2320,Mohit Balyan,8,0,2,0,0,0,0,0,0,2,5,U Mumba,24,7,U Mumba
3238,Navneet,11,0,1,0,0,0,1,0,0,2,5,U Mumba,24,7,U Mumba
2345,Anil ,12,0,1,0,0,0,1,0,0,1,5,U Mumba,24,7,U Mumba
240,Ravi Kumar,18,0,21,0,0,0,19,0,0,52,28,Haryana Steelers,23,7,Haryana Steelers
335,Tin Phonchoo,2,0,3,0,0,0,0,0,0,1,28,Haryana Steelers,23,7,Haryana Steelers
2351,Vikram Kandola,99,0,3,0,0,0,0,0,0,0,28,Haryana Steelers,23,7,Haryana Steelers
2318,Arun Kumar HN,11,0,3,0,0,0,0,0,0,2,28,Haryana Steelers,23,7,Haryana Steelers
3106,Sunil,5,0,21,1,0,0,21,0,0,55,28,Haryana Steelers,23,7,Haryana Steelers
2357,Naveen,77,0,16,1,0,0,8,0,0,65,28,Haryana Steelers,23,7,Haryana Steelers
179,Vikas Kale,15,0,21,0,0,0,21,0,0,39,28,Haryana Steelers,23,7,Haryana Steelers
3100,Parveen,9,0,8,0,0,0,6,0,0,4,28,Haryana Steelers,23,7,Haryana Steelers
264,Selvamani K,10,0,7,0,0,0,3,0,0,13,28,Haryana Steelers,23,7,Haryana Steelers
3054,Vinay,33,0,23,0,0,0,22,0,0,129,28,Haryana Steelers,23,7,Haryana Steelers
42,Dharmaraj Cheralathan,7,19,19,0,0,0,19,0,0,46,28,Haryana Steelers,23,7,Haryana Steelers
732,Kuldeep Singh,44,0,12,0,0,0,6,0,0,11,28,Haryana Steelers,23,7,Haryana Steelers
3229,Vikas Chhillar,8,0,2,0,0,0,0,0,0,3,28,Haryana Steelers,23,7,Haryana Steelers
3002,Subhash Narwal,6,0,0,0,0,0,0,0,0,0,28,Haryana Steelers,23,7,Haryana Steelers
3221,Chand Singh,1,0,12,0,0,0,0,0,0,9,28,Haryana Steelers,23,7,Haryana Steelers
366,Vikas Kandola,88,4,20,0,0,0,20,0,0,195,28,Haryana Steelers,23,7,Haryana Steelers
155,Prashanth Kumar Rai,4,0,16,0,0,0,16,0,0,91,28,Haryana Steelers,23,7,Haryana Steelers
3096,Ajay,6,0,11,0,0,0,6,0,0,4,1,Bengaluru Bulls,24,7,Bengaluru Bulls
589,Lal Mohar Yadav,99,0,0,0,0,0,0,0,0,0,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3029,Banty,5,0,15,0,0,0,8,0,0,25,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3019,Mohit Sehrawat,1,0,17,0,0,0,12,0,0,17,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3228,Saurabh Nandal,22,0,23,0,0,0,23,0,0,57,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3104,Sumit Singh,7,0,20,0,0,0,15,0,0,66,1,Bengaluru Bulls,24,7,Bengaluru Bulls
202,Ashish Sangwan,10,0,7,0,0,0,5,0,0,6,1,Bengaluru Bulls,24,7,Bengaluru Bulls
769,Mahender Singh,4,0,21,1,0,0,18,0,0,61,1,Bengaluru Bulls,24,7,Bengaluru Bulls
318,Pawan Sehrawat,17,7,24,0,0,0,24,0,0,360,1,Bengaluru Bulls,24,7,Bengaluru Bulls
326,Rohit Kumar,9,17,19,0,0,0,18,0,0,100,1,Bengaluru Bulls,24,7,Bengaluru Bulls
768,Vijay Kumar,11,0,10,0,0,0,5,0,0,5,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3115,Amit Sheoran,12,0,24,1,0,0,23,0,0,51,1,Bengaluru Bulls,24,7,Bengaluru Bulls
387,Vinod Kumar,88,0,1,0,0,0,1,0,0,0,1,Bengaluru Bulls,24,7,Bengaluru Bulls
15,Sanjay Shrestha,3,0,0,0,0,0,0,0,0,0,1,Bengaluru Bulls,24,7,Bengaluru Bulls
87,Raju Lal Choudhary,77,0,1,0,0,0,0,0,0,0,1,Bengaluru Bulls,24,7,Bengaluru Bulls
299,Sandeep,66,0,2,0,0,0,0,0,0,1,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3158,Aman,18,0,2,0,0,0,1,0,0,1,1,Bengaluru Bulls,24,7,Bengaluru Bulls
3099,Ankit,8,0,12,0,0,0,9,0,0,11,1,Bengaluru Bulls,24,7,Bengaluru Bulls
293,Nilesh Salunke,50,0,18,1,0,0,13,0,0,69,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
515,Dong Gyu Kim,8,0,0,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3097,Ajinkya Pawar,19,0,14,0,0,0,3,0,0,21,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3021,Pavan TR,2,0,17,0,0,0,10,0,0,12,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3154,Sachin Narwal,9,0,13,0,0,0,1,0,0,12,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
41,Deepak Hooda,5,20,20,0,0,0,20,0,0,158,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
613,Sunil Siddhgavali,11,0,14,1,0,0,12,0,0,9,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3159,Vishal,3,0,16,1,0,0,16,0,0,47,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
211,Deepak Narwal,7,0,19,1,0,0,15,0,0,80,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3065,Nitin Rawal,14,0,16,1,0,0,14,0,0,51,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
212,Amit Hooda,10,0,16,0,0,0,16,0,0,46,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
290,Sandeep Dhull,4,2,22,1,0,0,22,0,0,74,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3052,Sushil Gulia,23,0,6,0,0,0,2,0,0,20,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
2263,Milinda Chathuranga,13,0,1,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
599,Lokesh Kaushik,6,0,2,0,0,0,0,0,0,3,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3032,Guman Singh,15,0,3,0,0,0,1,0,0,5,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3076,Santhapanaselvam,96,0,9,0,0,0,6,0,0,14,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3230,Elavarasan,1,0,3,0,0,0,3,0,0,4,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3162,Karamvir,12,0,1,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,22,7,Jaipur Pink Panthers
3082,Monu,55,0,21,0,0,0,12,0,0,37,6,Patna Pirates,22,7,Patna Pirates
390,Jawahar,11,0,7,0,0,0,2,0,0,5,6,Patna Pirates,22,7,Patna Pirates
3075,Purna Singh,99,0,8,0,0,0,0,0,0,5,6,Patna Pirates,22,7,Patna Pirates
3028,Ashish,22,0,7,0,0,0,0,0,0,5,6,Patna Pirates,22,7,Patna Pirates
3208,Ravinder,44,0,5,0,0,0,0,0,0,3,6,Patna Pirates,22,7,Patna Pirates
197,Pardeep Narwal,9,22,22,0,0,0,22,0,0,304,6,Patna Pirates,22,7,Patna Pirates
3107,Neeraj Kumar,5,0,22,2,0,0,22,0,0,59,6,Patna Pirates,22,7,Patna Pirates
121,Vikas Jaglan,2,0,22,0,0,0,22,0,0,34,6,Patna Pirates,22,7,Patna Pirates
3175,Mohammad Esmaeil Maghsoudlou,7,0,20,0,0,0,17,0,0,52,6,Patna Pirates,22,7,Patna Pirates
