season,match_id,match_name,league_stage,year,venue,winning_margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2,total_points_match,winner,loser,max_score
7,1750,Match 66,League,2019,"Thyagaraj Indoor Stadium, Delhi",3,38,35,Dabang Delhi K.C.,2,Patna Pirates,6,73,Dabang Delhi K.C.,Patna Pirates,38
7,1751,Match 67,League,2019,"Kanteerava Indoor Stadium, Bengaluru",9,23,32,Bengaluru Bulls,1,Gujarat Giants,31,55,Gujarat Giants,Bengaluru Bulls,32
7,1752,Match 68,League,2019,"Kanteerava Indoor Stadium, Bengaluru",26,47,21,U Mumba,5,Jaipur Pink Panthers,3,68,U Mumba,Jaipur Pink Panthers,47
7,1753,Match 69,League,2019,"Kanteerava Indoor Stadium, Bengaluru",3,32,29,U.P. Yoddha,30,Bengal Warriors,4,61,U.P. Yoddha,Bengal Warriors,32
7,1754,Match 70,League,2019,"Kanteerava Indoor Stadium, Bengaluru",6,33,27,Bengaluru Bulls,1,Tamil Thalaivas,29,60,Bengaluru Bulls,Tamil Thalaivas,33
7,1755,Match 71,League,2019,"Kanteerava Indoor Stadium, Bengaluru",14,27,41,Puneri Paltan,7,Haryana Steelers,28,68,Haryana Steelers,Puneri Paltan,41
7,1756,Match 72,League,2019,"Kanteerava Indoor Stadium, Bengaluru",5,35,30,Telugu Titans,8,Tamil Thalaivas,29,65,Telugu Titans,Tamil Thalaivas,35
7,1757,Match 73,League,2019,"Kanteerava Indoor Stadium, Bengaluru",2,44,46,Jaipur Pink Panthers,3,Dabang Delhi K.C.,2,90,Dabang Delhi K.C.,Jaipur Pink Panthers,46
7,1758,Match 74,League,2019,"Kanteerava Indoor Stadium, Bengaluru",1,40,39,Bengaluru Bulls,1,Patna Pirates,6,79,Bengaluru Bulls,Patna Pirates,40
7,1759,Match 75,League,2019,"Kanteerava Indoor Stadium, Bengaluru",0,33,33,Puneri Paltan,7,U Mumba,5,66,tied,tied,33
7,1760,Match 76,League,2019,"Kanteerava Indoor Stadium, Bengaluru",12,29,41,Patna Pirates,6,U.P. Yoddha,30,70,U.P. Yoddha,Patna Pirates,41
7,1761,Match 77,League,2019,"Kanteerava Indoor Stadium, Bengaluru",1,40,39,Bengaluru Bulls,1,Telugu Titans,8,79,Bengaluru Bulls,Telugu Titans,40
7,1762,Match 78,League,2019,"Netaji Indoor Stadium, Kolkata",0,25,25,Bengal Warriors,4,Gujarat Giants,31,50,tied,tied,25
7,1763,Match 79,League,2019,"Netaji Indoor Stadium, Kolkata",22,25,47,Dabang Delhi K.C.,2,Haryana Steelers,28,72,Haryana Steelers,Dabang Delhi K.C.,47
7,1764,Match 80,League,2019,"Netaji Indoor Stadium, Kolkata",16,50,34,Dabang Delhi K.C.,2,Tamil Thalaivas,29,84,Dabang Delhi K.C.,Tamil Thalaivas,50
7,1765,Match 81,League,2019,"Netaji Indoor Stadium, Kolkata",3,42,39,Bengal Warriors,4,Puneri Paltan,7,81,Bengal Warriors,Puneri Paltan,42
7,1766,Match 82,League,2019,"Netaji Indoor Stadium, Kolkata",7,33,26,U.P. Yoddha,30,Gujarat Giants,31,59,U.P. Yoddha,Gujarat Giants,33
7,1767,Match 83,League,2019,"Netaji Indoor Stadium, Kolkata",26,25,51,Tamil Thalaivas,29,Patna Pirates,6,76,Patna Pirates,Tamil Thalaivas,51
7,1768,Match 85,League,2019,"Netaji Indoor Stadium, Kolkata",0,32,32,Haryana Steelers,28,Jaipur Pink Panthers,3,64,tied,tied,32
7,1769,Match 86,League,2019,"Netaji Indoor Stadium, Kolkata",3,29,26,Bengal Warriors,4,U Mumba,5,55,Bengal Warriors,U Mumba,29
7,1770,Match 87,League,2019,"Netaji Indoor Stadium, Kolkata",3,33,36,Jaipur Pink Panthers,3,Patna Pirates,6,69,Patna Pirates,Jaipur Pink Panthers,36
7,1771,Match 84,League,2019,"Netaji Indoor Stadium, Kolkata",14,27,41,Telugu Titans,8,U Mumba,5,68,U Mumba,Telugu Titans,41
7,1772,Match 88,League,2019,"Netaji Indoor Stadium, Kolkata",2,42,40,Bengal Warriors,4,Bengaluru Bulls,1,82,Bengal Warriors,Bengaluru Bulls,42
7,1773,Match 89,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",10,43,33,Puneri Paltan,7,Gujarat Giants,31,76,Puneri Paltan,Gujarat Giants,43
7,1774,Match 90,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",8,35,43,Tamil Thalaivas,29,Haryana Steelers,28,78,Haryana Steelers,Tamil Thalaivas,43
7,1775,Match 91,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",4,34,30,Dabang Delhi K.C.,2,Gujarat Giants,31,64,Dabang Delhi K.C.,Gujarat Giants,34
7,1776,Match 92,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",22,33,55,Puneri Paltan,7,Patna Pirates,6,88,Patna Pirates,Puneri Paltan,55
7,1777,Match 93,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",6,32,38,Jaipur Pink Panthers,3,U.P. Yoddha,30,70,U.P. Yoddha,Jaipur Pink Panthers,38
7,1778,Match 94,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",8,29,37,Telugu Titans,8,Dabang Delhi K.C.,2,66,Dabang Delhi K.C.,Telugu Titans,37
7,1779,Match 95,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",3,39,36,U Mumba,5,U.P. Yoddha,30,75,U Mumba,U.P. Yoddha,39
7,1780,Match 96,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",0,36,36,Puneri Paltan,7,Tamil Thalaivas,29,72,tied,tied,36
7,1781,Match 97,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",12,48,36,Bengal Warriors,4,Haryana Steelers,28,84,Bengal Warriors,Haryana Steelers,48
7,1782,Match 98,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",0,42,42,Telugu Titans,8,Patna Pirates,6,84,tied,tied,42
7,1783,Match 99,League,2019,"Shree Shiv Chhatrapati Sports Complex, Pune",4,42,38,Puneri Paltan,7,Bengaluru Bulls,1,80,Puneri Paltan,Bengaluru Bulls,42
7,1784,Match 100,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",0,28,28,Jaipur Pink Panthers,3,Gujarat Giants,31,56,tied,tied,28
7,1785,Match 101,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",20,42,22,U.P. Yoddha,30,Tamil Thalaivas,29,64,U.P. Yoddha,Tamil Thalaivas,42
7,1786,Match 102,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",6,31,25,U Mumba,5,Gujarat Giants,31,56,U Mumba,Gujarat Giants,31
7,1787,Match 103,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",1,40,41,Jaipur Pink Panthers,3,Bengal Warriors,4,81,Bengal Warriors,Jaipur Pink Panthers,41
7,1788,Match 104,League,2019,"Sawai Man Singh Indoor Stadium, Jaipur",5,34,39,Patna Pirates,6,Haryana Steelers,28,73,Haryana Steelers,Patna Pirates,39
