player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
88,Rakesh Kumar,7,12,12,1,0,0,12,0,0,112,6,Patna Pirates,16,1,Patna Pirates,1
89,Ram Kumar Sah,3,0,9,2,0,0,7,0,0,4,6,Patna Pirates,16,1,Patna Pirates,2
92,Ravi Dalal,9,0,16,0,0,0,16,0,0,157,6,Patna Pirates,16,1,Patna Pirates,0
109,Somvir Shekhar,55,0,6,0,0,0,5,0,0,0,6,Patna Pirates,16,1,Patna Pirates,0
114,Sunil Kumar,11,0,1,0,0,0,1,0,0,0,6,Patna Pirates,16,1,Patna Pirates,0
142,Sandeep Narwal,10,0,16,2,0,0,16,0,0,121,6,Patna Pirates,16,1,Patna Pirates,2
153,Vijender Singh,99,0,0,0,0,0,0,0,0,0,6,Patna Pirates,16,1,Patna Pirates,0
161,Girish Maruti Ernak,8,0,12,2,0,0,11,0,0,3,6,Patna Pirates,16,1,Patna Pirates,2
162,D. Suresh Kumar,1,0,12,0,0,0,11,0,0,0,6,Patna Pirates,16,1,Patna Pirates,0
6,Jaber Hemati Chonehkhan,99,0,1,0,0,0,1,0,0,0,8,Telugu Titans,14,1,Telugu Titans,0
17,Atif Waheed,14,0,3,0,0,0,3,0,0,0,8,Telugu Titans,14,1,Telugu Titans,0
19,Wajid Ali,15,0,4,0,0,0,2,0,0,5,8,Telugu Titans,14,1,Telugu Titans,0
36,Chandran Ranjit,66,0,6,0,0,0,2,0,0,13,8,Telugu Titans,14,1,Telugu Titans,0
41,Deepak Niwas Hooda,5,0,14,0,0,0,14,0,0,121,8,Telugu Titans,14,1,Telugu Titans,0
49,Irfan Khan,4,0,2,0,0,0,1,0,0,0,8,Telugu Titans,14,1,Telugu Titans,0
81,Rahul Chaudhari,1,0,14,2,0,0,14,0,0,197,8,Telugu Titans,14,1,Telugu Titans,2
84,Rajaguru Subramanian,0,14,14,4,0,0,14,0,0,0,8,Telugu Titans,14,1,Telugu Titans,4
97,Rupesh Tomar,7,0,5,0,0,0,4,0,0,1,8,Telugu Titans,14,1,Telugu Titans,0
111,Sukesh Hegde,7,0,14,0,0,0,14,0,0,102,8,Telugu Titans,14,1,Telugu Titans,0
