Season,Match_ID,Match_Name,League_Stage,Year,Venue,Match_Outcome,Start_Date,End_Date,Result,Winning Margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2
4,204,Match 23,League,2016,Patliputra Indoor Stadium,U Mumba beat Bengaluru Bulls (24-23),07/08/2016T8:00:00TPM,07/08/2016T8:00:00TPM,W,1,23,24,Bengaluru Bulls,1,U Mumba,5
4,205,Match 24,League,2016,Patliputra Indoor Stadium,Patna Pirates beat Bengal Warriors (35-21),07/08/2016T9:00:00TPM,07/08/2016T9:00:00TPM,W,14,35,21,Patna Pirates,6,Bengal Warriors,4
4,206,Match 25,League,2016,Patliputra Indoor Stadium,Puneri Paltan beat Bengal Warriors (38-31),07/09/2016T8:00:00TPM,07/09/2016T8:00:00TPM,W,7,31,38,Bengal Warriors,4,Puneri Paltan,7
4,207,Match 26,League,2016,Patliputra Indoor Stadium,Dabang Delhi K.C. beat Patna Pirates (33-15),07/09/2016T9:00:00TPM,07/09/2016T9:00:00TPM,W,18,15,33,Patna Pirates,6,Dabang Delhi,2
4,208,Match 27,League,2016,Patliputra Indoor Stadium,Telugu Titans beat Dabang Delhi K.C. (28-23),07/10/2016T8:00:00TPM,07/10/2016T8:00:00TPM,W,5,23,28,Dabang Delhi,2,Telugu Titans,8
4,209,Match 28,League,2016,Patliputra Indoor Stadium,Jaipur Pink Panthers beat Patna Pirates (26-21),07/10/2016T9:00:00TPM,07/10/2016T9:00:00TPM,W,5,21,26,Patna Pirates,6,Jaipur Pink Panthers,3
4,210,Match 29,League,2016,Kanteerava Indoor Stadium,Telugu Titans beat Bengaluru Bulls (32-24),07/12/2016T8:00:00TPM,07/12/2016T8:00:00TPM,W,8,24,32,Bengaluru Bulls,1,Telugu Titans,8
4,211,Match 30,League,2016,Kanteerava Indoor Stadium,Match Tied,07/12/2016T9:00:00TPM,07/12/2016T9:00:00TPM,Tied,0,34,34,Puneri Paltan,7,Bengal Warriors,4
4,212,Match 31,League,2016,Kanteerava Indoor Stadium,Jaipur Pink Panthers beat Bengaluru Bulls (24-22),07/13/2016T8:00:00TPM,07/13/2016T8:00:00TPM,W,2,22,24,Bengaluru Bulls,1,Jaipur Pink Panthers,3
4,213,Match 32,League,2016,Kanteerava Indoor Stadium,U Mumba beat Jaipur Pink Panthers (29-23),07/14/2016T8:00:00TPM,07/14/2016T8:00:00TPM,W,6,23,29,Jaipur Pink Panthers,3,U Mumba,5
4,214,Match 33,League,2016,Kanteerava Indoor Stadium,Patna Pirates beat Bengaluru Bulls (38-23),07/14/2016T9:00:00TPM,07/14/2016T9:00:00TPM,W,15,23,38,Bengaluru Bulls,1,Patna Pirates,6
4,215,Match 34,League,2016,Kanteerava Indoor Stadium,Telugu Titans beat Puneri Paltan (32-29),07/15/2016T8:00:00TPM,07/15/2016T8:00:00TPM,W,3,32,29,Telugu Titans,8,Puneri Paltan,7
4,216,Match 35,League,2016,Kanteerava Indoor Stadium,Dabang Delhi K.C. beat Bengaluru Bulls (40-20),07/15/2016T9:00:00TPM,07/15/2016T9:00:00TPM,W,20,20,40,Bengaluru Bulls,1,Dabang Delhi,2
4,217,Match 36,League,2016,Netaji Indoor Stadium,Bengal Warriors beat Jaipur Pink Panthers (32-25),07/16/2016T8:00:00TPM,07/16/2016T8:00:00TPM,W,7,32,25,Bengal Warriors,4,Jaipur Pink Panthers,3
4,218,Match 37,League,2016,Netaji Indoor Stadium,Patna Pirates beat U Mumba (34-24),07/16/2016T9:00:00TPM,07/16/2016T9:00:00TPM,W,10,34,24,Patna Pirates,6,U Mumba,5
4,219,Match 38,League,2016,Netaji Indoor Stadium,Jaipur Pink Panthers beat Puneri Paltan (33-27),07/17/2016T8:00:00TPM,07/17/2016T8:00:00TPM,W,6,27,33,Puneri Paltan,7,Jaipur Pink Panthers,3
4,220,Match 39,League,2016,Netaji Indoor Stadium,Patna Pirates beat Bengal Warriors (33-27),07/17/2016T9:00:00TPM,07/17/2016T9:00:00TPM,W,6,27,33,Bengal Warriors,4,Patna Pirates,6
4,221,Match 40,League,2016,Netaji Indoor Stadium,Match Tied,07/18/2016T8:00:00TPM,07/18/2016T8:00:00TPM,Tied,0,34,34,Bengal Warriors,4,Telugu Titans,8
4,222,Match 41,League,2016,Netaji Indoor Stadium,Telugu Titans beat Dabang Delhi K.C. (36-28),07/19/2016T8:00:00TPM,07/19/2016T8:00:00TPM,W,8,36,28,Telugu Titans,8,Dabang Delhi,2
4,223,Match 42,League,2016,Netaji Indoor Stadium,Bengaluru Bulls beat Bengal Warriors (27-25),07/19/2016T9:00:00TPM,07/19/2016T9:00:00TPM,W,2,25,27,Bengal Warriors,4,Bengaluru Bulls,1
4,224,Match 43,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",U Mumba beat Puneri Paltan (34-31),07/20/2016T8:00:00TPM,07/20/2016T8:00:00TPM,W,3,34,31,U Mumba,5,Puneri Paltan,7
4,225,Match 44,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",Jaipur Pink Panthers beat Dabang Delhi K.C. (24-22),07/21/2016T8:00:00TPM,07/21/2016T8:00:00TPM,W,2,24,22,Jaipur Pink Panthers,3,Dabang Delhi,2
4,226,Match 45,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",Match Tied,07/21/2016T9:00:00TPM,07/21/2016T9:00:00TPM,Tied,0,25,25,U Mumba,5,Telugu Titans,8
4,227,Match 46,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",Jaipur Pink Panthers beat Patna Pirates (29-22),07/22/2016T8:00:00TPM,07/22/2016T8:00:00TPM,W,7,29,22,Jaipur Pink Panthers,3,Patna Pirates,6
4,228,Match 47,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",Bengal Warriors beat U Mumba (31-27),07/22/2016T9:00:00TPM,07/22/2016T9:00:00TPM,W,4,27,31,U Mumba,5,Bengal Warriors,4
4,229,Match 48,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",Patna Pirates beat Puneri Paltan (31-28),07/23/2016T8:00:00TPM,07/23/2016T8:00:00TPM,W,3,31,28,Patna Pirates,6,Puneri Paltan,7
4,230,Match 49,League,2016,"Dome,Nsci,Svp Stadium,Mumbai",Bengaluru Bulls beat U Mumba (28-27),07/23/2016T9:00:00TPM,07/23/2016T9:00:00TPM,W,1,27,28,U Mumba,5,Bengaluru Bulls,1
4,231,Match 50,League,2016,Thyagaraj Indoor Stadium,Dabang Delhi K.C. beat Bengal Warriors (41-20),07/24/2016T8:00:00TPM,07/24/2016T8:00:00TPM,W,21,41,20,Dabang Delhi,2,Bengal Warriors,4
4,232,Match 51,League,2016,Thyagaraj Indoor Stadium,Telugu Titans beat Jaipur Pink Panthers (35-23),07/24/2016T9:00:00TPM,07/24/2016T9:00:00TPM,W,12,35,23,Telugu Titans,8,Jaipur Pink Panthers,3
4,233,Match 52,League,2016,Thyagaraj Indoor Stadium,Patna Pirates beat Dabang Delhi K.C. (32-31),07/25/2016T8:00:00TPM,07/25/2016T8:00:00TPM,W,1,31,32,Dabang Delhi,2,Patna Pirates,6
4,234,Match 53,League,2016,Thyagaraj Indoor Stadium,Telugu Titans beat Patna Pirates (46-25),07/26/2016T8:00:00TPM,07/26/2016T8:00:00TPM,W,21,25,46,Patna Pirates,6,Telugu Titans,8
4,235,Match 54,League,2016,Thyagaraj Indoor Stadium,Puneri Paltan beat Dabang Delhi K.C. (39-34),07/26/2016T9:00:00TPM,07/26/2016T9:00:00TPM,W,5,34,39,Dabang Delhi,2,Puneri Paltan,7
4,236,Match 55,League,2016,Thyagaraj Indoor Stadium,Puneri Paltan beat Bengaluru Bulls (36-33),07/27/2016T8:00:00TPM,07/27/2016T8:00:00TPM,W,3,36,33,Puneri Paltan,7,Bengaluru Bulls,1
4,237,Match 56,League,2016,Thyagaraj Indoor Stadium,U Mumba beat Dabang Delhi K.C. (38-34),07/27/2016T9:00:00TPM,07/27/2016T9:00:00TPM,W,4,34,38,Dabang Delhi,2,U Mumba,5
4,238,Semi-Final 1,Semi Final,2016,Gachibowli Indoor Stadium,Patna Pirates beat Puneri Paltan (37-33),07/29/2016T8:00:00TPM,07/29/2016T8:00:00TPM,W,4,37,33,Patna Pirates,6,Puneri Paltan,7
4,239,Semi-Final 2,Semi Final,2016,Gachibowli Indoor Stadium,Jaipur Pink Panthers beat Telugu Titans (34-24),07/29/2016T9:00:00TPM,07/29/2016T9:00:00TPM,W,10,24,34,Telugu Titans,8,Jaipur Pink Panthers,3
4,240,3/4 Place,Super Playoffs,2016,Gachibowli Indoor Stadium,Puneri Paltan beat Telugu Titans (40-35),07/31/2016T8:00:00TPM,07/31/2016T8:00:00TPM,W,5,35,40,Telugu Titans,8,Puneri Paltan,7
4,241,Final,Final,2016,Gachibowli Indoor Stadium,Patna Pirates beat Jaipur Pink Panthers (37-29),07/31/2016T9:15:00TPM,07/31/2016T9:15:00TPM,W,8,37,29,Patna Pirates,6,Jaipur Pink Panthers,3
5,286,Match 1,League,2017,Gachibowli Indoor Stadium,Telugu Titans beat Tamil Thalaivas (32-27),7/28/2017T8:00:00TPM,7/28/2017T8:00:00TPM,W,5,32,27,Telugu Titans,8,Tamil Thalaivas,29
5,287,Match 2,League,2017,Gachibowli Indoor Stadium,Puneri Paltan beat U Mumba (33-21),7/28/2017T9:00:00TPM,7/28/2017T9:00:00TPM,W,12,21,33,U Mumba,5,Puneri Paltan,7
5,288,Match 3,League,2017,Gachibowli Indoor Stadium,Dabang Delhi K.C. beat Jaipur Pink Panthers (30-26),7/29/2017T8:00:00TPM,7/29/2017T8:00:00TPM,W,4,26,30,Jaipur Pink Panthers,3,Dabang Delhi,2
5,289,Match 4,League,2017,Gachibowli Indoor Stadium,Patna Pirates beat Telugu Titans (35-29),7/29/2017T9:00:00TPM,7/29/2017T9:00:00TPM,W,6,29,35,Telugu Titans,8,Patna Pirates,6
5,290,Match 5,League,2017,Gachibowli Indoor Stadium,U Mumba beat Haryana Steelers (29-28),7/30/2017T8:00:00TPM,7/30/2017T8:00:00TPM,W,1,29,28,U Mumba,5,Haryana Steelers,28
5,291,Match 6,League,2017,Gachibowli Indoor Stadium,Bengaluru Bulls beat Telugu Titans (31-21),7/30/2017T9:00:00TPM,7/30/2017T9:00:00TPM,W,10,21,31,Telugu Titans,8,Bengaluru Bulls,1
